time,AVG(avg_bikes)
06:59,0.9090909090909091
07:00,2.8181818181818183
07:01,5.136363636363637
07:02,4.404040404040404
07:03,6.968181818181818
07:04,5.984848484848484
07:05,6.444281524926686
07:06,7.875494071146245
07:07,7.651278409090909
07:08,8.973484848484848
07:09,9.550609184629803
07:10,9.419096626643796
07:11,10.046511627906977
07:12,8.946969696969697
07:13,10.856060606060606
07:14,10.022727272727273
07:15,10.282828282828282
07:16,12.078282828282829
07:17,6.928321678321678
07:18,10.928571428571429
07:19,11.718181818181819
07:20,11.233333333333333
07:21,8.336363636363636
07:22,10.741140215716486
07:23,14.558080808080808
07:24,11.154829545454545
07:25,11.678030303030303
07:26,12.628246753246753
07:27,15.659090909090908
07:28,11.810276679841897
07:29,11.475
07:30,10.297979797979798
07:31,19.40495867768595
07:32,13.870553359683795
07:33,13.682588597842836
07:34,14.523809523809524
07:35,12.30560928433269
07:36,9.675189393939394
07:37,14.664772727272727
07:38,13.212121212121213
07:39,18.814685314685313
07:40,12.433155080213904
07:41,10.74090909090909
07:42,14.322727272727272
07:43,14.037878787878787
08:03,8.051282051282051
08:04,3.394230769230769
08:05,5.668269230769231
08:06,4.590729783037475
08:07,5.194139194139194
08:08,5.371320037986704
08:09,6.752525252525253
08:10,8.252933507170795
08:11,9.692561563848692
08:12,13.58822695035461
08:13,14.88186563233252
09:03,8.176271186440678
09:04,2.801155115511551
09:05,4.243341404358354
09:06,6.240426867545511
09:07,4.672316384180791
09:08,6.885478699038021
09:09,7.1638726690525525
09:10,10.123961448986375
09:11,10.432575081772228
09:12,13.233037728918507
09:13,17.560974675299796
10:01,3.5494505494505493
10:02,6.763428571428571
10:03,4.5082058464411405
10:04,4.729874084249084
10:05,4.475364691331078
10:06,5.884049487275294
10:07,7.055145787545788
10:08,7.855659462938408
10:09,10.522510695411459
10:10,13.01773876758827
10:11,14.136081769609497
10:12,13.289536684973948
10:13,17.035989392600076
12:00,3.0
12:01,3.875
12:02,3.0980392156862746
12:03,6.098765432098766
12:04,3.773879758393033
12:05,4.855820105820106
12:06,5.868152006172839
12:07,6.4182353841444755
12:08,8.59395784428795
12:09,8.670141526687487
12:10,12.364782340081742
12:11,13.759690642010648
12:12,11.963930348258707
12:13,15.585480093676814
12:14,16.828318584070797
12:52,0.75
12:58,3.75
13:01,3.262019230769231
13:02,3.8157894736842106
13:03,6.408026755852843
13:04,4.23291292041292
13:05,4.956726555652936
13:06,5.154836810654783
13:07,6.515048224624838
13:08,8.645204137530115
13:09,8.281767038080302
13:10,11.738838665152873
13:11,13.483299909384513
13:12,11.873372219207813
13:13,15.330320150659134
13:14,16.33594323464644
13:49,17.892857142857142
14:01,4.066964285714286
14:02,1.842687074829932
14:03,6.359375
14:04,3.640249177749178
14:05,4.3463687428049695
14:06,5.361023881564728
14:07,5.99142186227057
14:08,7.976219772025141
14:09,8.806040105239374
14:10,11.120252477544662
14:11,13.155514556725588
14:12,12.039836636314943
14:13,14.162729980010607
14:14,16.669647813483007
15:01,7.085714285714285
15:02,2.0107142857142857
15:03,5.147619047619048
15:04,3.6119612403100776
15:05,3.55527001034957
15:06,5.135690240054614
15:07,6.604346296658198
15:08,7.068011422135681
15:09,8.173583425012685
15:10,10.63872685866425
15:11,11.972966905023835
15:12,11.181245889316921
15:13,14.32314952806756
15:14,16.219043244307368
